427101,CONSULTA MEDICO DE CABECERA,10,,1
340101,RADIOSCOPIA SIMPLE (COMO UNICO ESTUDIO ),5.25,,2
340102,RADIOSCOPIA CON INTENSIFICADOR DE IMAGENES Y/O CIRCUITO CERRADO DE TELEVISION ,5.25,,2
340201,"RADIOGRAFIA DEL CRANEO, CARA, SENOS PARANASALES O CAVUN: PRIMERA EXPOSICION",6.75,,2
340202,RADIOGRAFIA DE CRANEO Y OTROS: POR EXPOSICION SUBISGUIENTE  (COMPLEMENTO AL CODIGO 340201),2.25,,2
340203,"RADIOGRAFIA DE HUESO TEMPORAL O AGUJEROS OPTICOS, COMPARATIVOS (POR INCIDENCIA Y POR PAR)",9.75,,2
340204,RADIOGRAFIA DE ARTICULACION TEMPOROMANDIBULAR (TRES POSICIONES COMPARATIVAS),9.75,,2
340205,ORTOPANTOMOGRAFIA (RADIOGRAFIA PANORAMICA DE CRANEO CARA): PRIMERA EXPOSICION,9.75,,2
340206,ORTOPANTOMOGRAFIA: POR EXPOSICION SUBSIGUIENTE (COMPLEMENTO DEL CODIGO 340205),5.25,,2
340207,TELERRADIOGRAFIA DE CRANEO Y/O PERFIL FACIAL CON CEFALOSTATO: PRIMERA EXPOSICION,5.25,,2
340208,TELERADIOGRAFIA DE CRANEO Y/O PERFIL FACIAL: POR EXPOSICION SUBSIGUIENTE (COMPLEMENTO AL CODIGO 340207),2.25,,2
340209,RADIOGRAFIA DE RAQUIS (COLUMNA): PRIMERA EXPOSICION,6.75,,2
340210,RADIOGRAFIA DE RAQUIS: POR EXPOSICION SUBSIGUIENTE (COMPLEMENTO AL CODIGO 340209),2.25,,2
340211,"RADIOGRAFIA DE HOMBRO, HUMERO, PELVIS, CADERA Y FEMUR: PRIMERA EXPOSICION",6.75,,2
340212,RADIOGRAFIA DE HOMBRO Y OTROS: POR EXPOSICION SUBSIGUIENTE (COMPLEMENTO AL CODIGO 340211),2.25,,2
340213,"RADIOGRAFIA DE CODO, ANTEBRAZO, MUÑECA, MANO, DEDOS, RODILLA, PIERNA, TOBILLO Y PIE: DOS POR PLACA",6.75,,2
340214,MEDICION COMPARATIVA DE MIEMBROS INFERIORES (ORTORRADIOGRAFIA) POR ESTUDIO,7.5,,2
340222,ESPINOGRAFIA,24.5,,2
340301,RADIOGRAFIA DE TORAX: PRIMERA EXPOSICION,6.75,,2
340302,RADIOGRAFIA DE TORAX: POR EXPOSICION SUBSIGUIENTE (COMPLEMENTO AL CODIGO 340301),2.25,,2
340401,"SIALOGRAFIA, POR GLANDULA Y POR LADO",7.5,,2
340402,RADIOGRAFIA SERIADA DE ESOFAGO,7.5,,2
340403,RADIOGRAFIA SERIADA GASTRODUODENAL,15,,2
340404,RADIOGRAFIA SERIADA GASTRODUODENAL CON TECNICA DE DOBLE CONTRASTE,24.75,,2
340405,RADIOGRAFIA SERIADA ESOFAGOGASTRODUODENAL,24.75,,2
340406,DUODENOGRAFIA HIPOTONICA (INCLUYE SONDAJE DUODENAL),24.75,,2
340407,RADIOGRAFIA DE TRANSITO DE INTESTINO DELGADO O DE COLON,7.5,,2
340408,RADIOGRAFIA SERIADA ILEOCECOAPENDICULAR,7.5,,2
340409,RADIOGRAFIA DE COLON POR ENEMA Y EVACUADO (HASTA CINCO PLACAS),5.25,,2
340410,RADIOGRAFIA DE COLON POR ENEMA Y EVACUADO (MAS DE CINCO PLACAS),24.75,,2
340411,"RADIOGRAFIA DE COLON POR ENEMA, EVACUADO E INSUFLADO (TECNICA DE FISHER)",24.75,,2
340412,"RADIOGRAFIA DE COLON POR ENEMA, EVACUADO Y DOBLE CONTRASTE (TECNICA DE MALMO)",36.75,,2
340413,COLECISTOGRAFIA ORAL (INCLUYE PRUEBA DE EVACUACION),9.75,,2
340414,COLECISTOGRAFIA ENDOVENOSA (INCLUYE PRUEBA DE EVACUACION),12,,2
340421,RADIOGRAFIA SIMPLE DE ABDOMEN: PRIMERA EXPOSICION,5.25,,2
340422,RADIOGRAFIA DE ABDOMEN: POR EXPOSICION SUBSIGUIENTE (COMPLEMENTO AL CODIGO 340421),2.25,,2
340425,"FISTULOCOLANGIOGRAFIA, COLANGIOGRAFIA POSTOPERATORIA",9.75,,2
340426,COLANGIOGRAFIA RETROGRADA POR FIBROSCOPIA,9.75,,2
340427,VIDEODEGLUCION,24.75,,2
340428,DEFECOGRAFIA,7,,2
340501,RADIOGRAFIA SIMPLE DE ARBOL URINARIO,5.25,,2
340502,UROGRAMA EXCRETOR PIELOGRAFIA DESCENDENTE,9.75,,2
340503,"UROGRAMA EXCRETOR CON ESTUDIO VESICAL, PRE Y POSTMICCIONAL",12,,2
340504,"UROGRAMA MINUTADO O POR GOTEO, PIELOGRAFIA POR PERFUSION",12,,2
340510,PIELOGRAFIA ASCENDENTE: PRIMERA EXPOSICION,5.25,,2
340511,PIELOGRAFIA: POR EXPOSICION SUBSIGUIENTE (COMPLEMENTO AL CODIGO 340510),2.25,,2
340512,CISTOURETROGRAFIA MICCIONAL. CISTOURETROGRAFIA ASCENDENTE,5.25,,2
340513,CISTOURETROGRAFIA POR ESTUDIO DE INCONTINENCIA. CISTOURETROGRAFIA PARA DETECTAR REFLUJO ,7.5,,2
340514,URETROGRAFIA RETROGRADA,27,,2
340601,MAMOGRAFIA / SENOGRAFIA -UNILATERAL-,5.25,,2
340602,MAMOGRAFIA. PROYECCION AXILAR -UNILATERAL-,5.25,,2
340612,HISTEROSALPINGOGRAFIA CON PRUEBA DE COTTE,7.5,,2
340613,PELVIMETRIA RADIOLOGICA,5.25,,2
340619,MAGNIFICACION MAMOGRAFICA,6,,2
340823,LINFOGRAFIA (POR EXPOSICION),5.25,,2
340908,RADIOGRAFIA A DOMICILIO (ADICIONAL AL CODIGO CORRESPONDIENTE),2.5,,2
340915,"FISTULOGRAFIA, ESTUDIO COMPLETO - EXCLUYE PACIENTES QUE SE ENCUENTRAN EN PLAN DE HEMODIALISIS CRONICA -",5.25,,2
340916,RADIOGRAFIA PANORAMICA DE CADERA,6.75,,2
340917,GALACTOGRAFIA (CON O SIN MAMOGRAFO) UNILATERAL,5.25,,2
180104,ECOGRAFIA TOCOGINECOLOGICA/GINECOLOGICA.,27,,3
180106,ECOGRAFIA MAMARIA UNI O BILATERAL.,27,,3
180110,ECOGRAFIA TIROIDEA.,18,,3
180111,ECOGRAFIA DE TESTICULOS.,18,,3
180112,ECOGRAFIA COMPLETA DE ABDOMEN.,37.5,,3
180113,"ECOGRAFIA HEPATICA, BILIAR, ESPLENICA O TORACICA.",27,,3
180114,ECOGRAFIA DE VEJIGA Y/O PROSTATA.,18,,3
180116,ECOGRAFIA RENAL BILATERAL.,27,,3
180117,ECOGRAFIA DE AORTA ABDOMINAL.,27,,3
180118,ECOGRAFIA PANCREATICA O SUPRARRENAL.,33,,3
180122,ECOGRAFIA CEREBRAL TRANSCRANEAL.,27,,3
180123,ECOGRAFIA VESICAL CON MEDICION DE RESIDUO POST MICCIONAL,27,,3
180124,ECOGRAFIA ENDOCAVITARIA ESOFAGICA GASTRICA,37.5,,3
180125,ECOGRAFIA FETAL,37.5,,3
180126,ECOGRAFIA TRANSFONTANELAR,37.5,,3
180127,ECOGRAFIA DE LA CADERA DEL RECIEN NACIDO,37.5,,3
180128,ECOGRAFIA ENDOCAVITARIA GINECOLOGICA,27,,3
180129,ECOGRAFIA ENDOCAVITARIA TRANSRECTAL,27,,3
180149,PUNCION BIOPSIA MAMARIA BAJO ECO,56,,3
180150,PUNCION BIOPSIA TIROIDEA BAJO ECO,56,,3
180151,PUNCION BIOPSIA DE PROSTATA BAJO ECO,56,,3
180152,DRENAJES Y/O PROCEDIMIENTOS SIMILARES BAJO ECO,56,,3
180153,PUNCION DEL SISTEMA LINFATICO -CUALQUIER REGION- BAJO ECO,56,,3
180154,PUNCION BIOPSIA LIQUIDO AMNIOTICO GUIADA BAJO ECO (AMNIOCENTESIS),56,,3
186001,ECOGRAFIA DE PARTES BLANDAS / MUSCULOESQUELETICA,27,,3
186007,ECOGRAFIA DE OTROS ORGANOS Y REGIONES,27,,3
